id входа;id;начальная ставка;депозит после цикла;Время;порядковый номер шага;результат
18767;18768;0,20;50,5364;30 11:13;2;выигрыш
19099;19111;0,20;50,7459;30 13:17;13;выигрыш
19201;19213;0,20;50,9554;30 13:50;13;выигрыш
19272;19272;0,20;51,7894;30 14:12;1;выигрыш
19328;19331;0,20;52,0234;30 14:33;4;выигрыш
19534;19535;0,20;52,6574;30 15:50;2;выигрыш
19566;19577;0,20;52,8727;30 16:07;12;выигрыш
19656;19663;0,20;53,0809;30 16:35;8;выигрыш
19678;19689;0,20;53,2962;30 16:44;12;выигрыш
19879;19880;0,20;53,9302;30 17:51;2;выигрыш
19917;19924;0,20;54,1384;30 18:09;8;выигрыш
19958;19961;0,20;54,3724;30 18:21;4;выигрыш
20069;20070;0,20;55,0064;30 19:01;2;выигрыш
20189;20189;0,20;55,8404;30 19:51;1;выигрыш
20227;20235;0,20;56,0473;30 20:08;9;выигрыш
20250;20255;0,20;56,2583;30 20:14;6;выигрыш
20422;20432;0,20;56,4779;30 21:19;11;выигрыш
20593;20605;0,20;56,6874;30 22:18;13;выигрыш
20733;20734;0,20;57,3214;30 23:04;2;выигрыш
20759;20759;0,20;58,1554;30 23:13;1;выигрыш
20804;20804;0,20;58,9894;30 23:29;1;выигрыш
20825;20828;0,20;59,2234;30 23:35;4;выигрыш
20972;20974;0,20;59,6574;31 00:28;3;выигрыш
21117;21123;0,20;59,8603;31 01:16;7;выигрыш
21327;21338;0,20;60,0799;31 02:30;11;выигрыш
21377;21378;0,20;60,7139;31 02:42;2;выигрыш
21393;21397;0,20;60,9147;31 02:47;5;выигрыш
21416;21418;0,20;61,3487;31 02:53;3;выигрыш
21511;21512;0,20;61,9827;31 03:24;2;выигрыш
21638;21643;0,20;62,1937;31 04:08;6;выигрыш
21947;21959;0,20;62,4032;31 06:04;13;выигрыш
22148;22151;0,20;62,6372;31 07:16;4;выигрыш
22233;22238;0,20;62,8482;31 07:48;6;выигрыш
22368;22383;0,20;63,0768;31 08:39;16;выигрыш
22543;22549;0,20;63,2797;31 09:37;7;выигрыш
22656;22657;0,20;63,9137;31 10:18;2;выигрыш
22779;22779;0,20;64,7477;31 11:02;1;выигрыш
22874;22876;0,20;65,1817;31 11:40;3;выигрыш
22935;22936;0,20;65,8157;31 12:01;2;выигрыш
22951;22952;0,20;66,4497;31 12:05;2;выигрыш
23034;23034;0,20;67,2837;31 12:32;1;выигрыш
23080;23080;0,20;68,1177;31 12:49;1;выигрыш
23148;23155;0,20;68,3259;31 13:13;8;выигрыш
23300;23313;0,20;68,5615;31 14:09;14;выигрыш
